check,description,result,evidence,evidence_path
A01,source branch SHA pinned,PASS,source branch tsfm-benchmark-gap-discovery-v1 pinned at dbdc8b82feb9fcec6448e647a2eef7141d0136fa; remote now dbdc8b82feb9fcec6448e647a2eef7141d0136fa,results/tsfm_long_horizon_specialist_closure_v1/SOURCE_STUDY.json
A02,source D1-long tasks exactly reproduced,PASS,4 D1-long discovery tasks re-derived from the source metadata and identical to the frozen list,results/tsfm_benchmark_gap_discovery_v1/task_metadata.csv
A03,fresh holdout excludes the previous 18 tasks,PASS,"6 holdout tasks, overlap with the 18 previously used tasks: []",results/tsfm_long_horizon_specialist_closure_v1/long_horizon_tasks.json
A04,fresh holdout excludes the previous dataset families,PASS,"holdout families ['hospital', 'm5', 'restaurant', 'solar', 'us', 'world'] share nothing with the 18 previously used families",results/tsfm_long_horizon_specialist_closure_v1/long_horizon_tasks.json
A05,holdout hash frozen before specialist training,PASS,"sha256 38890e6b71573aa9... matches, and the frozen file predates every fitted predictor directory",results/tsfm_long_horizon_specialist_closure_v1/long_horizon_tasks.sha256
A06,Track U only,PASS,the frozen selection declares track U and no other track was exported or scored,results/tsfm_long_horizon_specialist_closure_v1/long_horizon_tasks.json
A11,no future covariates in Track U,PASS,"the exported windows carry item_id, timestamp and target only; no covariate column is written by convert_data, so none can reach a specialist",experiments/tsfm_long_horizon_specialist_closure_v1/src/convert_data.py
A07,specialist training data ends at or before the first evaluation cutoff,PASS,for all 10 tasks the training frame's last timestamp is at or before every later window's,results/tsfm_long_horizon_specialist_closure_v1/conversion_index.json
A08,no evaluation label used in fitting,PASS,"the training frame is window 0's visible past, which fev builds from data strictly before the first cutoff; no evaluation target row is exported at all",experiments/tsfm_long_horizon_specialist_closure_v1/src/convert_data.py
A09,predictor parameters not refit after the first cutoff,PASS,"fit_once is called exactly once per (task, seed) and every forecast goes through predictor.predict(context); refit_full and fit are never called again",experiments/tsfm_long_horizon_specialist_closure_v1/src/train_specialists.py
A10,later observed target used only as inference context,PASS,"later windows are passed to predict() as the context argument, which AutoGluon uses as model input and never as a training signal",experiments/tsfm_long_horizon_specialist_closure_v1/src/train_specialists.py
A12,quantile levels match fev,PASS,every task declares fev's nine quantile levels 0.1..0.9 and the specialist predictors were configured with exactly those levels,results/tsfm_long_horizon_specialist_closure_v1/conversion_index.json
A13,native SQL evaluator used,PASS,all task scores come from fev.Task.evaluation_summary with the task's native SQL metric; no metric is reimplemented,experiments/tsfm_long_horizon_specialist_closure_v1/src/evaluate_specialists.py
A14,development TSFM rows match the source benchmark_results exactly,PASS,all 24 development TSFM and baseline rows equal the source study's values,results/tsfm_long_horizon_specialist_closure_v1/development_tsfm_results.csv
A15,holdout TSFM revisions match the source model_audit,PASS,chronos-2@29ec3766d36d6f73f0696f85560a422f50e8498c; tirex-2@05e5b26db52bfb256f1ae1bdf785589850482de3; timesfm-3.0@43046b85ec22d584a13f8098c2ed39c889e129c2,results/tsfm_benchmark_gap_discovery_v1/model_audit.csv
A16,F_FAMILY_ENVELOPE is the taskwise minimum of the three primary TSFMs only,PASS,F_FAMILY_ENVELOPE recomputed from the three primary columns matches the stored value on every row; the synthetic diagnostic and the baselines are excluded from it,results/tsfm_long_horizon_specialist_closure_v1/comparator_scores.csv
A17,S_BEST selected from training-only validation,PASS,"S_BEST is the top single model on the training-only validation leaderboard in every (task, seed); the ensemble is reported separately",results/tsfm_long_horizon_specialist_closure_v1/specialist_manifest.csv
A18,S_ENSEMBLE contains no pretrained foundation model,PASS,"no fitted model name in any run matches chronos, toto, timesfm or tirex, so no pretrained foundation model entered the suite or its ensemble",results/tsfm_long_horizon_specialist_closure_v1/specialist_manifest.csv
A19,same evaluation windows for every comparator,PASS,specialist and TSFM scores on a task use the same window count declared by the task,results/tsfm_long_horizon_specialist_closure_v1/specialist_scores.csv
A20,old study files unchanged,PASS,no file under the previous studies changed between dbdc8b82feb9 and HEAD,git diff against the source base commit
A21,origin/main unchanged,PASS,"origin/main 36b01d2b84df16f03447a8e214723fc61ae147fd, recorded at start 36b01d2b84df16f03447a8e214723fc61ae147fd",results/tsfm_long_horizon_specialist_closure_v1/BASE_STATE.json
A22,final remote branch tip == local HEAD,FAIL,branch not pushed yet; re-run verify after the push,results/tsfm_long_horizon_specialist_closure_v1/REMOTE_PUBLICATION.json
